Data e Hora;Status;Pagador;Valor transação
02/09/2024 - 20:45:10;Aprovada;002646;10.00
02/09/2024 - 20:18:37;Aprovada;001980;20.00
02/09/2024 - 20:03:03;Aprovada;001977;10.00
02/09/2024 - 19:41:09;Aprovada;002639;30.00
02/09/2024 - 19:40:54;Aprovada;001964;50.00
02/09/2024 - 19:35:17;Aprovada;001960;15.00
02/09/2024 - 19:20:55;Aprovada;001949;30.00
02/09/2024 - 19:19:58;Aprovada;002632;20.00
02/09/2024 - 19:00:28;Aprovada;002621;7.53
02/09/2024 - 18:28:26;Aprovada;001912;30.00
02/09/2024 - 18:25:28;Aprovada;001909;100.00
02/09/2024 - 18:23:50;Aprovada;001906;5.00
02/09/2024 - 18:16:03;Aprovada;001901;30.00
02/09/2024 - 18:10:58;Aprovada;001898;13.00
02/09/2024 - 17:52:46;Aprovada;001893;28.91
02/09/2024 - 17:45:34;Aprovada;002597;15.65
02/09/2024 - 17:43:48;Aprovada;001890;100.00
02/09/2024 - 17:36:29;Aprovada;002586;10.00
02/09/2024 - 17:27:46;Aprovada;002585;50.00
02/09/2024 - 17:13:11;Aprovada;002576;20.00
02/09/2024 - 17:11:52;Aprovada;002575;100.00
02/09/2024 - 17:01:40;Aprovada;002570;30.00
02/09/2024 - 17:01:29;Aprovada;001877;10.00
02/09/2024 - 16:51:57;Aprovada;001871;20.00
02/09/2024 - 16:36:22;Aprovada;001866;25.00
