"IBM Posto","Nome Posto","Data","Hora","Tipo","Bomba","Bico","Produto","Volume (L)","Valor a Receber","Desconto Posto","Desconto Shell","Creditos no Shellbox","Shell Box Clube","Valor Pago Cliente","Cod. Status Transacao","Status Transacao","ID Frentista","ID Transacao","ID do Produto","Payout Status","Pagamento ID 1","Parceiro","Codigo do Voucher","Nome da Campanha","Data de inicio da Transação","Categoria"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","08:00:31","Abastecimento","4","16","Shell V-Power Gasolina","27.5","R$ 181,22","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 181,22","3","Sucesso","B32809092EAD213A","190061236","12","","a2fecb82-e04b-4f78-aeac-529f0647f3a0","-","-","-","2025-01-20 11:00:14.000 UTC","Payly"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","07:56:55","Abastecimento","2","3","Etanol Comum","11.93","R$ 50,00","R$ 1,19","R$ 0,00","R$ 0,00","R$ 0,00","R$ 48,81","3","Sucesso","B32809EED033D53C","190060730","21","","-","-","-","-","2025-01-20 10:56:40.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","07:51:32","Abastecimento","6","15","Gasolina Comum","24.23","R$ 150,00","R$ 2,42","R$ 0,00","R$ 0,00","R$ 0,00","R$ 147,58","3","Sucesso","B32809EED033236E","190059946","11","","-","-","-","-","2025-01-20 10:51:07.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","07:31:52","Abastecimento","3","5","Etanol Comum","26.25","R$ 110,00","R$ 2,62","R$ 0,00","R$ 0,00","R$ 0,00","R$ 107,38","3","Sucesso","B32809EED033236E","190057400","21","","-","-","-","-","2025-01-20 10:31:35.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","07:29:21","Abastecimento","1","2","Gasolina Comum","6.46","R$ 40,00","R$ 0,65","R$ 0,00","R$ 0,00","R$ 0,00","R$ 39,35","3","Sucesso","B32809092EADBC7C","190056974","11","","-","-","-","-","2025-01-20 10:28:28.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","07:01:01","Abastecimento","1","1","Etanol Comum","11.93","R$ 50,00","R$ 1,19","R$ 0,00","R$ 0,00","R$ 0,00","R$ 48,81","3","Sucesso","B32809092EAD213A","190053782","21","","99476149977","Mercado Pago","-","-","2025-01-20 10:00:42.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:55:04","Abastecimento","4","9","Gasolina Comum","42.82","R$ 265,06","R$ 4,28","R$ 0,00","R$ 0,00","R$ 0,00","R$ 260,78","3","Sucesso","B32809D538851035","190053152","11","","99476173565","Mercado Pago","-","-","2025-01-20 09:54:42.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:45:53","Abastecimento","2","4","Gasolina Comum","16.16","R$ 100,00","R$ 1,62","R$ 0,00","R$ 0,00","R$ 0,00","R$ 98,38","3","Sucesso","B32809092EAD213A","190052303","11","","-","-","-","-","2025-01-20 09:45:30.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:43:33","Abastecimento","4","8","Etanol Comum","21.48","R$ 90,00","R$ 2,15","R$ 0,00","R$ 0,00","R$ 0,00","R$ 87,85","3","Sucesso","B32809EED033236E","190052016","21","","19324682x190052016x1737366159915","-","-","-","2025-01-20 09:42:21.000 UTC","Pix"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:41:23","Abastecimento","4","8","Etanol Comum","2.39","R$ 10,00","R$ 0,24","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9,76","3","Sucesso","B32809EED033236E","190051857","21","","19324682x190051857x1737366042253","-","-","-","2025-01-20 09:40:21.000 UTC","Pix"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:30:52","Abastecimento","6","15","Gasolina Comum","25.93","R$ 160,51","R$ 2,59","R$ 0,00","R$ 0,00","R$ 0,00","R$ 157,92","3","Sucesso","B32809092EAD213A","190051090","11","","99841886888","Mercado Pago","-","-","2025-01-20 09:30:35.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:23:25","Abastecimento","5","18","Shell V-Power Gasolina","8.45","R$ 55,69","R$ 0,84","R$ 0,00","R$ 0,00","R$ 0,00","R$ 54,85","3","Sucesso","B32809092EAD213A","190050566","12","","-","-","-","-","2025-01-20 09:23:05.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:21:05","Abastecimento","3","6","Gasolina Comum","8.08","R$ 50,00","R$ 0,81","R$ 0,00","R$ 0,00","R$ 0,00","R$ 49,19","3","Sucesso","B32809EED033236E","190050390","11","","1080766329","Mercado Pago","-","-","2025-01-20 09:20:46.000 UTC","Conta Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:19:25","Abastecimento","1","2","Gasolina Comum","16.16","R$ 100,00","R$ 1,62","R$ 0,00","R$ 0,00","R$ 0,00","R$ 98,38","3","Sucesso","B32809092EAD213A","190050285","11","","-","-","-","-","2025-01-20 09:19:09.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:16:43","Abastecimento","6","15","Gasolina Comum","16.16","R$ 100,00","R$ 1,62","R$ 0,00","R$ 0,00","R$ 0,00","R$ 98,38","3","Sucesso","B32809EED033236E","190050105","11","","-","-","-","-","2025-01-20 09:16:25.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","06:14:05","Abastecimento","4","8","Etanol Comum","28.09","R$ 117,70","R$ 2,81","R$ 0,00","R$ 0,00","R$ 0,00","R$ 114,89","3","Sucesso","B32809D538851035","190049921","21","","99840081722","Mercado Pago","-","-","2025-01-20 09:13:45.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","05:57:15","Abastecimento","6","15","Gasolina Comum","17.0","R$ 105,23","R$ 1,70","R$ 0,00","R$ 0,00","R$ 0,00","R$ 103,53","3","Sucesso","B32809EED033236E","190049119","11","","-","-","-","-","2025-01-20 08:56:46.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","05:47:13","Abastecimento","2","3","Etanol Comum","7.16","R$ 30,00","R$ 0,72","R$ 0,00","R$ 0,00","R$ 0,00","R$ 29,28","3","Sucesso","B32809092ED8D233","190048798","21","","-","-","-","-","2025-01-20 08:47:00.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","05:45:59","Abastecimento","2","4","Gasolina Comum","8.08","R$ 50,00","R$ 0,81","R$ 0,00","R$ 0,00","R$ 0,00","R$ 49,19","3","Sucesso","B32809092ED8D233","190048756","11","","-","-","-","-","2025-01-20 08:45:47.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","05:45:40","Abastecimento","6","19","Shell V-Power Gasolina","14.26","R$ 94,00","R$ 1,43","R$ 0,00","R$ 0,00","R$ 0,00","R$ 92,57","3","Sucesso","B32809092ED8D233","190048747","12","","-","-","-","-","2025-01-20 08:45:23.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","05:11:29","Abastecimento","2","4","Gasolina Comum","24.23","R$ 150,00","R$ 2,42","R$ 0,00","R$ 0,00","R$ 0,00","R$ 147,58","3","Sucesso","B32809EED033236E","190047975","11","","-","-","-","-","2025-01-20 08:11:15.000 UTC","Dinheiro"
