"order_uuid","order_created_at","order_updated_at","order_payment_date","order_status","total_order","order_paid_amount","order_balance","order_expiration_date","order_external_id","order_wallet_payment_id","system_wallet_name","system_wallet_friendly_name","system_wallet_id","store_uuid","store_name","store_pos_uuid","store_pos_name","psp_provider"
"722fda59-c93e-4545-8a0b-a5684c8f0e65","2024-04-29T02:08:01.349854","2024-04-29T02:08:38.258306","2024-04-29T02:08:37.832000","approved","20","20","20","","20240428230756_137907","E13370835202404290208eeIatfsu4gg","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"5ea2e951-e120-495b-8740-b18910bb8798","2024-04-29T02:00:28.123150","2024-04-29T02:01:08.377547","2024-04-29T02:01:07.855000","approved","20","20","20","","20240428230022_686244","E18236120202404290200s0210d853c6","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"17727d2c-6e9a-4412-b369-b4757e46910c","2024-04-29T01:56:17.777801","2024-04-29T01:56:27.878117","2024-04-29T01:56:27.396000","approved","72.14","72.14","72.14","","20240428225608_789914","E18236120202404290156s10564c268c","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"34179431-9c91-4c75-971b-fb35a1b96215","2024-04-28T23:58:12.711935","2024-04-28T23:58:44.516728","2024-04-28T23:58:43.942000","approved","100","100","100","","20240428205806_707019","E090893562024042823588f2fbcf2f7d","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"bf0b1555-3b56-45f6-940f-dd998c651c08","2024-04-28T23:29:52.314126","2024-04-28T23:30:45.184332","2024-04-28T23:30:44.965000","approved","35","35","35","","20240428202846_391848","E60746948202404282330A2870wJhx2E","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"e20a783d-663b-47d7-b223-0caf4f37896a","2024-04-28T22:44:32.429479","2024-04-28T22:44:48.150795","2024-04-28T22:44:47.532000","approved","70","70","70","","20240428194427_297664","E24313102202404282244upDBDsbgGwr","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"c012bd16-dcbf-4842-abcd-c134b269d0a4","2024-04-28T22:42:56.036697","2024-04-28T22:43:07.919028","2024-04-28T22:43:07.226000","approved","50","50","50","","20240428194251_868551","E08561701202404282243G8HFDYZ3VNE","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"4ff4060a-f31f-4529-9089-646cc11e4783","2024-04-28T22:29:46.161051","2024-04-28T22:30:12.096371","2024-04-28T22:30:11.455000","approved","142.22","142.22","142.22","","20240428192942_050302","E18236120202404282229s1347397169","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"d3aa1383-4c14-4690-b372-e9807fbeb55d","2024-04-28T22:27:32.793331","2024-04-28T22:28:03.383934","2024-04-28T22:28:02.585000","approved","100","100","100","","20240428192727_099256","E9040088820240428222721280681337","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"fdbd52d1-8b73-4120-823d-c28912bae1c7","2024-04-28T22:22:17.116519","2024-04-28T22:22:42.166426","2024-04-28T22:22:41.552000","approved","50","50","50","","20240428192212_847062","E31872495202404282222ksh5cabvSyb","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"b9f86acd-fa0c-484d-9d48-f212f3023465","2024-04-28T21:54:35.979591","2024-04-28T21:55:00.493404","2024-04-28T21:54:59.970000","approved","140.09","140.09","140.09","","20240428185431_164242","E2085587520240428215448264061360","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"3b271a4b-6b24-4574-8cff-6090375c8782","2024-04-28T20:49:57.441439","2024-04-28T20:50:16.797550","2024-04-28T20:50:16.272000","approved","50","50","50","","20240428174952_202574","E0000000020240428205004504475545","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"3135f28d-54bc-499b-aed8-73855832e2bc","2024-04-28T19:48:18.403662","2024-04-28T19:48:36.497570","2024-04-28T19:48:36.295000","approved","36.13","36.13","36.13","","20240428164810_262902","E60746948202404281948A1280qJyn6Q","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"83940b8f-5d64-4364-828a-848b7e848076","2024-04-28T19:15:38.622078","2024-04-28T19:15:58.500897","2024-04-28T19:15:57.970000","approved","50","50","50","","20240428161530_917850","E18236120202404281915s17c2259391","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"606ff4f5-11b7-4bd0-a8a5-00da5df5350d","2024-04-28T19:15:15.146362","2024-04-28T20:17:59.345374","","expired","50","0","","","20240428161510_515994","","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"2e43beb9-bcdf-43cd-a0cb-17ccccb62266","2024-04-28T19:01:59.187728","2024-04-28T19:03:26.439851","2024-04-28T19:03:25.918000","approved","100","100","100","","20240428160153_005422","E00360305202404281903122ddbd410d","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"9711eacf-f4bb-4005-8400-250f0ce745c1","2024-04-28T18:53:16.248836","2024-04-28T18:53:41.121419","2024-04-28T18:53:40.595000","approved","80","80","80","","20240428155309_310848","E22896431202404281853ymGRKPAWtRr","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"48e8ff25-7fb9-43e1-9b3b-68bae1b1729d","2024-04-28T17:15:47.812088","2024-04-28T17:16:26.858813","2024-04-28T17:16:26.364000","approved","25","25","25","","20240428141540_641381","E9040088820240428171621273059268","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"726534d4-2bcf-4caa-8548-c8c2d06c1925","2024-04-28T17:02:07.223960","2024-04-28T17:04:09.801185","2024-04-28T17:04:09.135000","approved","147.58","147.58","147.58","","20240428140158_834198","E08561701202404281704X7WMCYC9RB7","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"7f152236-7b88-4275-b290-f10492a9aa1b","2024-04-28T14:07:32.762256","2024-04-28T14:07:51.998450","2024-04-28T14:07:51.289000","approved","100","100","100","","20240428110717_364540","E00360305202404281407c92b05574df","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"18123f92-ba34-4e91-b2c5-6563c1402ce5","2024-04-28T14:07:24.209273","2024-04-28T15:17:46.901529","","expired","200.02","0","","","20240428110717_417267","","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
"fbc8a860-2db6-4f69-95e9-94902fb89785","2024-04-28T14:06:32.016728","2024-04-28T14:07:28.196327","2024-04-28T14:07:27.674000","approved","50","50","50","","20240428110627_032496","E60701190202404281407DY5GIW23560","pix","Pix","10","4de4b765-f9cf-40f6-b0da-a65ebffeabbf","AUTO POSTO JARDIM BOTANICO SP LTDA","fc1bbd6bd3064eaa99308597681b136e","Caixa1","bradesco"
