CNPJ;Loja;Status;Canal de venda;Código da Transação*;Data;Hora;Meio de Pagamento;Valor da Compra;Valor recebido;Total Taxas;Líquido a receber;Data Pagamento
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165031508;24/05/2024;22:20:57;Dinheiro;R$ 150,00;R$ 150,00;R$ 2,83;R$ 147,17;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165029556;24/05/2024;21:51:33;Online;R$ 100,00;R$ 0,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165026780;24/05/2024;21:02:02;Dinheiro;R$ 50,00;R$ 50,00;R$ 0,94;R$ 49,06;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165024860;24/05/2024;20:33:40;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165023974;24/05/2024;20:22:23;Online;R$ 151,13;R$ 0,00;R$ 2,86;R$ 148,27;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165014909;24/05/2024;18:45:57;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165014320;24/05/2024;18:40:11;Online;R$ 100,00;R$ 0,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165004123;24/05/2024;17:09:07;Online;R$ 11,90;R$ 0,00;R$ 0,22;R$ 11,68;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165004123;24/05/2024;17:09:07;Online;R$ 28,10;R$ 0,00;R$ 0,53;R$ 27,57;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-165000932;24/05/2024;16:35:54;Dinheiro;R$ 212,47;R$ 212,47;R$ 4,02;R$ 208,45;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164994036;24/05/2024;15:15:49;Dinheiro;R$ 60,00;R$ 60,00;R$ 1,13;R$ 58,87;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164991182;24/05/2024;14:40:21;Dinheiro;R$ 151,58;R$ 151,58;R$ 2,86;R$ 148,72;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164990349;24/05/2024;14:30:08;Dinheiro;R$ 50,00;R$ 50,00;R$ 0,94;R$ 49,06;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164982596;24/05/2024;13:03:59;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164974648;24/05/2024;11:30:33;Dinheiro;R$ 151,02;R$ 151,02;R$ 2,85;R$ 148,17;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164971864;24/05/2024;10:59:00;Dinheiro;R$ 70,00;R$ 70,00;R$ 1,32;R$ 68,68;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164964695;24/05/2024;09:38:15;Dinheiro;R$ 70,00;R$ 70,00;R$ 1,32;R$ 68,68;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164956384;24/05/2024;08:08:02;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164954049;24/05/2024;07:42:42;Dinheiro;R$ 100,00;R$ 100,00;R$ 1,89;R$ 98,11;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164948260;24/05/2024;06:28:39;Dinheiro;R$ 63,56;R$ 63,56;R$ 1,20;R$ 62,36;24/06/2024
16.877.872/0001-72;Auto Posto Sapopetro Ltda;Autorizado;Posto;ABA-164946297;24/05/2024;04:59:27;Dinheiro;R$ 50,00;R$ 50,00;R$ 0,94;R$ 49,06;24/06/2024
