ID Transação;Data e Hora;Tipo;Status;Parcela;Bandeira;Valor Bruto;Valor Taxa;Valor Antec.;Valor Liquido;Data Pagamento
942151793;28/02/2024 - 10:57:24;Crédito;Pago;1/1;Visa;100;"1,45";0;"98,55";01/04/2024
942167071;28/02/2024 - 11:12:01;Crédito;Pago;1/1;Visa;100;"1,45";0;"98,55";01/04/2024
942172585;28/02/2024 - 11:17:11;Crédito;Pago;1/1;Visa;"26,11";"0,38";0;"25,73";01/04/2024
942004349;28/02/2024 - 08:24:23;Crédito;Pago;1/1;Visa;100;"1,45";0;"98,55";01/04/2024
942724685;28/02/2024 - 18:55:26;Crédito;Pago;1/1;Visa;"162,77";"2,36";0;"160,41";01/04/2024
942731175;28/02/2024 - 19:00:29;Crédito;Pago;1/1;Visa;70;"1,02";0;"68,98";01/04/2024
969978932;28/02/2024 - 09:15:08;Crédito;Pago;1/1;Visa;"136,75";"1,98";0;"134,77";01/04/2024
970409916;28/02/2024 - 15:55:53;Crédito;Pago;1/1;Visa;30;"0,44";0;"29,56";01/04/2024
970433946;28/02/2024 - 16:16:14;Crédito;Pago;1/1;Visa;"255,63";"3,71";0;"251,92";01/04/2024
970468464;28/02/2024 - 16:44:21;Crédito;Pago;1/1;Visa;"152,26";"2,21";0;"150,05";01/04/2024
970523092;28/02/2024 - 17:22:10;Crédito;Pago;1/1;Visa;"210,05";"3,05";0;207;01/04/2024
970628220;28/02/2024 - 18:28:39;Crédito;Pago;1/1;Visa;"208,03";"3,02";0;"205,01";01/04/2024
970650766;28/02/2024 - 18:43:52;Crédito;Pago;1/1;Visa;"157,3";"2,28";0;"155,02";01/04/2024
970676070;28/02/2024 - 19:01:40;Crédito;Pago;1/1;Visa;10;"0,14";0;"9,86";01/04/2024
970738224;28/02/2024 - 19:54:32;Crédito;Pago;1/1;Visa;"197,79";"2,87";0;"194,92";01/04/2024
970799504;28/02/2024 - 21:10:02;Crédito;Pago;1/1;Visa;40;"0,58";0;"39,42";01/04/2024
943042767;29/02/2024 - 08:45:25;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
943060333;29/02/2024 - 09:03:56;Crédito;Pago;1/1;Visa;30;"0,44";0;"29,56";01/04/2024
943156361;29/02/2024 - 10:37:59;Crédito;Pago;1/1;Visa;100;"1,45";0;"98,55";01/04/2024
943668215;29/02/2024 - 17:46:58;Crédito;Pago;1/1;Visa;"136,64";"1,98";0;"134,66";01/04/2024
943684569;29/02/2024 - 17:57:29;Crédito;Pago;1/1;Visa;"130,07";"1,89";0;"128,18";01/04/2024
943836935;29/02/2024 - 19:49:06;Crédito;Pago;1/1;Visa;"224,77";"3,26";0;"221,51";01/04/2024
943841411;29/02/2024 - 19:53:31;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
943862121;29/02/2024 - 20:15:10;Crédito;Pago;1/1;Visa;"241,79";"3,51";0;"238,28";01/04/2024
943775455;29/02/2024 - 18:57:24;Crédito;Pago;1/1;Visa;190;"2,76";0;"187,24";01/04/2024
